seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_2000.pdf in page 19:   '$778˜0', '$778', '$778', '$778', '$7780', '$778', '$77B53', '$778', '$778', '$77B50', '$77B53', '$778', '$77B50'
CtIDH_Casos_Esp_2000.pdf in page 20:   '$778', '$778', '$77B53', '$7780', '$778', '$778', '$778', '$778', '$778', '$77B54', '$77B5', '$77B53', '$6395', '$778', '$778', '$778', '$778', '$778', '$77B5', '$77B54'
CtIDH_Casos_Esp_2000.pdf in page 21:   '$6395', '$778', '$778', '$778', '$778', '$778', '$776', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$77B5', '$77B5', '$77B54', '$77B5', '$3$776', '$779', '$779', '$779', '$779', '$778', '$778', '$778', '$778', '$778', '$6544', '$778', '$778', '$5.04', '$778', '$778', '$778'
CtIDH_Casos_Esp_2000.pdf in page 22:   '$779', '$77900', '$7790', '$5.6', '$7780', '$778', '$778', '$778', '$7780', '$7780', '$778', '$778', '$778', '$779', '$77;0', '$7790', '$5.6', '$7780', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$778'
CtIDH_Casos_Esp_2000.pdf in page 23:   '$776', '$776', '$77;3', '$77A04', '$77A51', '$777', '$778', '$778', '$778', '$778', '$778', '$776', '$77654', '$776', '$77654', '$77654', '$7534', '$96;9', '$8!6', '$77B5', '$77654', '$7765', '$77653', '$776'
CtIDH_Casos_Esp_2000.pdf in page 24:   '$778', '$778', '$778', '$778', '$778', '$778', '$77B534'
CtIDH_Casos_Esp_2000.pdf in page 25:   '$77;4'
CtIDH_Casos_Esp_2000.pdf in page 26:   '$7B7'
CtIDH_Casos_Esp_2000.pdf in page 27:   '$776', '$6$776', '$776', '$776'
CtIDH_Casos_Esp_2000.pdf in page 28:   '$77$4', '$776', '$776', '$779#98', '$7764', '$7763'
CtIDH_Casos_Esp_2000.pdf in page 29:   '$7761', '$779<4', '$7763'
CtIDH_Casos_Esp_2000.pdf in page 31:   '$778', '$779', '$776'
CtIDH_Casos_Esp_2000.pdf in page 32:   '$778', '$778'
CtIDH_Casos_Esp_2000.pdf in page 33:   '$7784'
CtIDH_Casos_Esp_2000.pdf in page 34:   '$778', '$7762', '$7762'
CtIDH_Casos_Esp_2000.pdf in page 35:   '$77604'
CtIDH_Casos_Esp_2000.pdf in page 36:   '$7763', '$779', '$9$7763', '$776'
CtIDH_Casos_Esp_2000.pdf in page 37:   '$776', '$77@4'
CtIDH_Casos_Esp_2000.pdf in page 38:   '$778N1', '$779'
CtIDH_Casos_Esp_2000.pdf in page 39:   '$779(1'
CtIDH_Casos_Esp_2000.pdf in page 40:   '$7B7'
CtIDH_Casos_Esp_2000.pdf in page 41:   '$776'
CtIDH_Casos_Esp_2000.pdf in page 42:   '$1$7', '$7761'
CtIDH_Casos_Esp_2000.pdf in page 43:   '$776', '$776', '$776', '$7763'
CtIDH_Casos_Esp_2000.pdf in page 44:   '$776(2', '$7763', '$7793'
CtIDH_Casos_Esp_2000.pdf in page 45:   '$776', '$779'
CtIDH_Casos_Esp_2000.pdf in page 46:   '$776', '$776', '$779', '$779'
CtIDH_Casos_Esp_2000.pdf in page 47:   '$7A7', '$776'
CtIDH_Casos_Esp_2000.pdf in page 48:   '$776', '$776', '$77$1', '$776', '$776', '$776', '$776'
CtIDH_Casos_Esp_2000.pdf in page 49:   '$7761', '$776', '$7763', '$776', '$776', '$7B8', '$776'
CtIDH_Casos_Esp_2000.pdf in page 50:   '$776', '$776', '$776', '$776', '$776', '$7763'
CtIDH_Casos_Esp_2000.pdf in page 51:   '$6$7763', '$776', '$776', '$7763', '$776', '$776'
CtIDH_Casos_Esp_2000.pdf in page 52:   '$777', '$9L79', '$779', '$779', '$777', '$8$7', '$9;5', '$7B7'
CtIDH_Casos_Esp_2000.pdf in page 53:   '$776'
CtIDH_Casos_Esp_2000.pdf in page 54:   '$863'
CtIDH_Casos_Esp_2000.pdf in page 55:   '$6$777', '$7763', '$776', '$776'
CtIDH_Casos_Esp_2000.pdf in page 57:   '$77:3', '$776,1', '$779', '$778', '$779', '$77;0', '$778', '$504', '$77B54', '$77B5', '$77B5', '$77B5'
CtIDH_Casos_Esp_2000.pdf in page 58:   '$776', '$77B50', '$77B54', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B50', '$77B542', '$365ˆ2', '$778', '$77B5', '$77B5', '$77B5', '$77B542', '$778', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B50', '$77B542', '$778'
CtIDH_Casos_Esp_2000.pdf in page 59:   '$6$776', '$6$776', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B53', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B54', '$776', '$77654', '$77654', '$778', '$778', '$77B5', '$77B5', '$77B54', '$365', '$778', '$778', '$77B504', '$77B5', '$77B542', '$365'
CtIDH_Casos_Esp_2000.pdf in page 60:   '$776', '$365', '$77B542', '$779', '$77900', '$778', '$504', '$77B53', '$778', '$778', '$778', '$7780', '$7780', '$778', '$778', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B54', '$778', '$779', '$779', '$779'
CtIDH_Casos_Esp_2000.pdf in page 61:   '$77;3', '$779', '$778', '$778', '$778', '$5.04', '$778', '$778', '$504', '$77B5', '$77B5', '$77B5', '$77B50', '$77B5', '$77B5', '$77B53', '$3$776'
CtIDH_Casos_Esp_2000.pdf in page 62:   '$67(4', '$883'
CtIDH_Casos_Esp_2000.pdf in page 63:   '$6$4', '$865', '$7$53', '$995', '$9;5', '$6A3', '$9:53'
CtIDH_Casos_Esp_2000.pdf in page 64:   '$779'
CtIDH_Casos_Esp_2000.pdf in page 65:   '$97(1', '$9$5'
CtIDH_Casos_Esp_2000.pdf in page 66:   '$7;5', '$883'
CtIDH_Casos_Esp_2000.pdf in page 67:   '$38(6'
CtIDH_Casos_Esp_2000.pdf in page 68:   '$38(6'
CtIDH_Casos_Esp_2000.pdf in page 69:   '$7A53', '$8;3', '$7853', '$7$778', '$983', '$7B9', '$7B6', '$776'
CtIDH_Casos_Esp_2000.pdf in page 70:   '$7A53'
CtIDH_Casos_Esp_2000.pdf in page 72:   '$7B9', '$38(6', '$38(6', '$7B9', '$7B6', '$776'
CtIDH_Casos_Esp_2000.pdf in page 73:   '$9A3', '$96$99', '$7B6'
CtIDH_Casos_Esp_2000.pdf in page 74:   '$776', '$7B53'
CtIDH_Casos_Esp_2000.pdf in page 75:   '$7764', '$776', '$7793'
CtIDH_Casos_Esp_2000.pdf in page 76:   '$7793', '$7H7'
CtIDH_Casos_Esp_2000.pdf in page 79:   '$777', '$685', '$6$5', '$6$5', '$6$5'
CtIDH_Casos_Esp_2000.pdf in page 80:   '$7793'
CtIDH_Casos_Esp_2000.pdf in page 82:   '$7@75', '$7@7'
CtIDH_Casos_Esp_2000.pdf in page 83:   '$7@7', '$7@73', '$7@73'
CtIDH_Casos_Esp_2000.pdf in page 84:   '$778'
CtIDH_Casos_Esp_2000.pdf in page 85:   '$6;3', '$6;3'
CtIDH_Casos_Esp_2000.pdf in page 87:   '$6;3'
CtIDH_Casos_Esp_2000.pdf in page 88:   '$38(6'
CtIDH_Casos_Esp_2000.pdf in page 89:   '$6;3'
CtIDH_Casos_Esp_2000.pdf in page 91:   '$7B7', '$778', '$778', '$777 3', '$777'
CtIDH_Casos_Esp_2000.pdf in page 92:   '$7B9', '$7B8'
CtIDH_Casos_Esp_2000.pdf in page 93:   '$76A54'
CtIDH_Casos_Esp_2000.pdf in page 94:   '$7A8', '$7A8', '$7@7'
CtIDH_Casos_Esp_2000.pdf in page 95:   '$7@7', '$7@7'
CtIDH_Casos_Esp_2000.pdf in page 96:   '$777', '$7B7', '$7B6', '$9$6966'
CtIDH_Casos_Esp_2000.pdf in page 97:   '$7B7', '$779', '$777', '$776', '$777'
CtIDH_Casos_Esp_2000.pdf in page 98:   '$777'
CtIDH_Casos_Esp_2000.pdf in page 99:   '$777', '$7T6', '$7;73'
CtIDH_Casos_Esp_2000.pdf in page 100:   '$7B7', '$77B3', '$777 3', '$77$3'
CtIDH_Casos_Esp_2000.pdf in page 101:   '$777'
CtIDH_Casos_Esp_2000.pdf in page 103:   '$777'
CtIDH_Casos_Esp_2000.pdf in page 107:   '$779', '$7795'
CtIDH_Casos_Esp_2000.pdf in page 108:   '$7@73', '$777', '$8B53', '$7@7'
CtIDH_Casos_Esp_2000.pdf in page 113:   '$776'
CtIDH_Casos_Esp_2000.pdf in page 115:   '$7@7'
CtIDH_Casos_Esp_2000.pdf in page 281:   '$40.000'
seriec_102_esp.pdf in page 22:   '$8.200,00'
seriec_042_esp.pdf in page 32:   '$29.724,00', '$13.912,56', '$3.864,60', '$3.508,92'
seriec_042_esp.pdf in page 33:   '$1.140,00', '$3.168,00', '$12.000,00', '$18.000', '$14.400'
seriec_042_esp.pdf in page 42:   '$15.000,00'
seriec_064_esp.pdf in page 3:   '$40.000'
seriec_239_esp.pdf in page 82:   '$62.205', '$38.752'
seriec_239_esp.pdf in page 83:   '$47.400', '$96.600'
seriec_239_esp.pdf in page 84:   '$12.560.000', '$5.775.000', '$268.000'
seriec_239_esp.pdf in page 85:   '$80.200', '$20.200', '$53.200', '$91.400'
seriec_239_esp.pdf in page 86:   '$2000', '$56.000'
seriec_141_esp.pdf in page 61:   '$400,00', '$30,400,00'
seriec_141_esp.pdf in page 62:   '$10.000.00', '$12,930,56', '$400,00', '$25,000,00'
seriec_141_esp.pdf in page 63:   '$2,000.00', '$8,000.00', '$50,000,00'
seriec_141_esp.pdf in page 64:   '$100,000,00', '$50,000,00'
seriec_141_esp.pdf in page 66:   '$15,000,00', '$10,000,00', '$4,000,00', '$7,000,00', '$1,000,00'
seriec_141_esp.pdf in page 69:   '$64,117.00', '$18,628.00', '$5,250.25'
seriec_141_esp.pdf in page 70:   '$10,000,00'
seriec_216_esp.pdf in page 89:   '$60.000,00', '$8.000,00', '$1.000,00', '$37.000,00'
seriec_216_esp.pdf in page 90:   '$18.500,0', '$613.552,00'
seriec_216_esp.pdf in page 92:   '$3.517,14', '$23.584,05', '$250.00'
CtIDH_Casos_Esp_2007.pdf in page 163:   '$365,781,00'
CtIDH_Casos_Esp_2007.pdf in page 164:   '$2,000,000.00', '$1,000,000,00', '$250,000,00'
CtIDH_Casos_Esp_2007.pdf in page 165:   '$25,000.00'
CtIDH_Casos_Esp_2007.pdf in page 167:   '$1,547.36', '$75,600.00', '$40,000.00', '$20,000.00', '$4,000.00', '$30,000.00'
CtIDH_Casos_Esp_2007.pdf in page 182:   '$10.444,77'
CtIDH_Casos_Esp_2007.pdf in page 232:   '$150.000,00', '$150.000,00'
CtIDH_Casos_Esp_2007.pdf in page 233:   '$1.150,09', '$1.150,09', '$6.267,59', '$1.624,93', '$350.000,00', '$175.492,44', '$3.038,87', '$818,15', '$818,15', '$13.500.000', '$3.500.000'
CtIDH_Casos_Esp_2007.pdf in page 234:   '$66.796,70', '$15.026,68', '$20.000,00', '$135.729,07', '$40.000,00'
CtIDH_Casos_Esp_2007.pdf in page 235:   '$12.000,00', '$14.500,00', '$114', '$26.588,54', '$16.143,77', '$16.143,77'
CtIDH_Casos_Esp_2007.pdf in page 236:   '$50.000,00'
CtIDH_Casos_Esp_2007.pdf in page 237:   '$50.000,00'
CtIDH_Casos_Esp_2007.pdf in page 242:   '$235.813,21', '$9.941,55', '$150.000,00', '$30.000,00', '$5.000,00'
CtIDH_Casos_Esp_2007.pdf in page 243:   '$5.000,00', '$3.500,00'
CtIDH_Casos_Esp_2007.pdf in page 344:   '$40,987,32', '$14,055.24', '$865.38', '$3,365,96'
CtIDH_Casos_Esp_2007.pdf in page 345:   '$13.000,00'
CtIDH_Casos_Esp_2007.pdf in page 395:   '$7.500'
CtIDH_Casos_Esp_2007.pdf in page 403:   '$10.000,00'
CtIDH_Casos_Esp_2007.pdf in page 456:   '$2.000,00'
CtIDH_Casos_Esp_2007.pdf in page 460:   '$10.000,00', '$1.871,63'
CtIDH_Casos_Esp_2007.pdf in page 504:   '$50.000,00'
CtIDH_Casos_Esp_2007.pdf in page 505:   '$55.000,00'
CtIDH_Casos_Esp_2007.pdf in page 554:   '$15.000,00', '$20.000,00'
CtIDH_Casos_Esp_2007.pdf in page 555:   '$4.000,00'
CtIDH_Casos_Esp_2007.pdf in page 561:   '$150,00', '$296.73'
CtIDH_Casos_Esp_2007.pdf in page 562:   '$737,00', '$212,10'
seriec_192_esp.pdf in page 60:   '$1.702.944.360,47'
seriec_192_esp.pdf in page 61:   '$1.421.039.360,47', '$369.019.165,72', '$400.250.887,61', '$408.448.263,34', '$238.275.467,80'
seriec_164_esp.pdf in page 28:   '$15.000,00', '$20.000,00'
seriec_164_esp.pdf in page 29:   '$4.000,00'
seriec_164_esp.pdf in page 35:   '$150,00', '$296.73'
seriec_164_esp.pdf in page 36:   '$737,00', '$212,10'
seriec_281_esp.pdf in page 91:   '$601.219', '$604.049', '$600.000', '$180.840', '$500', '$2.000', '$3.300'
seriec_281_esp.pdf in page 92:   '$500', '$100.000', '$100.000', '$50.000,00', '$25.000,00', '$60.000', '$60.000', '$35.000', '$35.000', '$30.000'
seriec_281_esp.pdf in page 93:   '$20.000', '$15.000', '$15.000', '$6.000', '$7.238', '$1.500', '$2.000'
seriec_281_esp.pdf in page 94:   '$6.511', '$2.725,17', '$2.725,17'
seriec_260_esp.pdf in page 112:   '$1,000.00'
seriec_260_esp.pdf in page 113:   '$2,000.00', '$10,00', '$30,000.00'
seriec_260_esp.pdf in page 114:   '$5,000.00', '$3,500.00', '$3,500.00', '$1,500.00', '$3,500'
seriec_260_esp.pdf in page 115:   '$3,693.58'
seriec_260_esp.pdf in page 116:   '$3,693.58'
seriec_112_esp.pdf in page 140:   '$65.000,00'
seriec_112_esp.pdf in page 141:   '$25.000,00', '$15.000,00', '$25.000,00'
seriec_112_esp.pdf in page 142:   '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00'
seriec_229_esp.pdf in page 55:   '$695,00', '$8,225.00', '$506,970.00', '$5,955.00'
seriec_229_esp.pdf in page 56:   '$40,000.00', '$506', '$5,955.00', '$10,000.00'
seriec_229_esp.pdf in page 57:   '$5,000.00', '$2,000.00', '$80,000.00', '$75,000.00'
seriec_229_esp.pdf in page 58:   '$50,000.00', '$35,000.00', '$10,000.00', '$5,000.00'
seriec_229_esp.pdf in page 59:   '$35,000.00'
seriec_229_esp.pdf in page 60:   '$35,000.00', '$4,614.00'
seriec_229_esp.pdf in page 62:   '$10,043.02', '$10,043.02', '$482,00', '$1.900,00', '$1.915,00'
seriec_071_esp.pdf in page 0:   '$2˙479'
seriec_071_esp.pdf in page 6:   '$427'
seriec_071_esp.pdf in page 8:   '$3>7'
seriec_071_esp.pdf in page 29:   '$7B4'
seriec_071_esp.pdf in page 30:   '$7B4'
CtIDH_Casos_Esp_1996.pdf in page 3:   '$2.100,00', '$172.958,35', '$148.036,16'
CtIDH_Casos_Esp_1996.pdf in page 4:   '$125.000,00'
CtIDH_Casos_Esp_1996.pdf in page 5:   '$125.000,00', '$173.058,35', '$148.136,17', '$166.541,53'
CtIDH_Casos_Esp_1996.pdf in page 7:   '$125,00'
CtIDH_Casos_Esp_1996.pdf in page 8:   '$2.100,00', '$2.000,00'
CtIDH_Casos_Esp_1996.pdf in page 9:   '$125,00'
CtIDH_Casos_Esp_1996.pdf in page 10:   '$31.065,88', '$30.102,38', '$26.872,48', '$125.000,00', '$29.070,00', '$38.155,00', '$20.000,00'
CtIDH_Casos_Esp_1996.pdf in page 11:   '$20.000,00'
CtIDH_Casos_Esp_1996.pdf in page 13:   '$154.040,74'
CtIDH_Casos_Esp_1996.pdf in page 16:   '$154', '$2.000,00', '$20.000,00'
CtIDH_Casos_Esp_1996.pdf in page 17:   '$125,00'
CtIDH_Casos_Esp_1996.pdf in page 22:   '$240,000', '$2.000,00'
CtIDH_Casos_Esp_1996.pdf in page 23:   '$5.500,00', '$2.800,00', '$5.000', '$67.000,00', '$197.000', '$5.000,00'
CtIDH_Casos_Esp_1996.pdf in page 24:   '$23.953,79', '$28.303,94', '$23.139,44', '$26.838,00', '$28.535,66', '$23.139,44', '$27.416,52', '$23.558,79', '$26.145,70', '$27.235,10', '$25.006,34', '$23.139,44', '$28.641,52', '$26.145,70', '$4.566,41', '$125,000', '$62.500,00', "$1'875"
CtIDH_Casos_Esp_1996.pdf in page 25:   '$29.070,00', '$38.155,00', '$20.000,00'
CtIDH_Casos_Esp_1996.pdf in page 33:   '$722.332,20'
seriec_053_esp.pdf in page 2:   '$167.190,30', '$99.190,30', '$15.000,00', '$15.000,00', '$10.000,00', '$10.000,00', '$18.000,00', '$3.000,00', '$20.000,00'
seriec_053_esp.pdf in page 4:   '$20.000,00'
seriec_053_esp.pdf in page 5:   '$20.000,00', '$5.000,00', '$15.000,00'
seriec_114_esp.pdf in page 26:   '$135.000', '$6.000', '$5.000', '$10.000'
seriec_114_esp.pdf in page 27:   '$80.000', '$300.000', '$2.000'
seriec_114_esp.pdf in page 92:   '$2.500,00', '$70.000,00', '$100,00', '$7.400,00', '$1.500,00', '$3.000,00', '$47,61', '$7.141,00', '$45.397,00'
seriec_114_esp.pdf in page 93:   '$135.000,00', '$6.000,00', '$4.857,00', '$5.000,00', '$10.000,00', '$2.000,00'
seriec_114_esp.pdf in page 95:   '$6.000,00', '$4.857'
seriec_114_esp.pdf in page 96:   '$100.000,00'
seriec_114_esp.pdf in page 97:   '$100.000,00', '$500.000,00'
seriec_114_esp.pdf in page 106:   '$1.544,00', '$30.000,00', '$21.000,00', '$3.000,00', '$4.200,00', '$2.750,00', '$15,00', '$3.000,00', '$9.950,00', '$5.400,00', '$3.100,00', '$15,00', '$6.000,00'
seriec_114_esp.pdf in page 107:   '$20.000,00'
seriec_134_esp.pdf in page 73:   '$30.767.200', '$11.079.800', '$28.310.000', '$1,427,000', '$2,510,000', '$2,790,000', '$3,600,000', '$4,100,000'
seriec_134_esp.pdf in page 74:   '$5,511,000'
seriec_134_esp.pdf in page 149:   '$13.228.00', '$10.714', '$16.436', '$50.000'
seriec_134_esp.pdf in page 150:   '$3.004', '$67.927.03', '$16.926', '$382.698.02', '$2365', '$130.025', '$2365', '$127.636', '$2.365', '$2.956,49', '$117.372,79'
seriec_134_esp.pdf in page 151:   '$2956', '$117.372,79', '$2956', '$130.233,38', '$2956', '$130.233,38', '$2956', '$53.208'
seriec_134_esp.pdf in page 153:   '$165,601,437.00', '$165,601,437', '$183,746,683.00', '$183,746,683.00', '$60,240,846.00'
seriec_134_esp.pdf in page 155:   '$5.000,00', '$20.000,00'
seriec_134_esp.pdf in page 157:   '$100.000,00'
seriec_134_esp.pdf in page 158:   '$200.000,00', '$30.000,00', '$120.000,00', '$50.000,00'
seriec_134_esp.pdf in page 162:   '$80,000,00', '$50,000.00', '$55,000.00', '$80.000,00', '$80.000,00', '$80,000,00', '$90,000,00', '$90,000,00', '$150,000,00', '$67,000,00', '$67,000,00', '$72,000,00', '$72,000,00', '$72,000,00', '$80,000,00', '$80,000,00', '$80,000,00', '$80,000,00', '$200,000,00', '$34,000,00', '$34,000,00', '$34,000,00', '$34,000,00', '$80,000,00', '$50,000,00', '$80,000,00', '$50,000,00', '$80.000,00', '$80.000,00', '$80.000,00', '$80.000,00', '$80.000,00'
seriec_134_esp.pdf in page 163:   '$80.000,00', '$80.000,00', '$80.000,00'
seriec_233_esp.pdf in page 31:   '$4.239,58'
seriec_233_esp.pdf in page 78:   '$35.000'
seriec_233_esp.pdf in page 90:   '$1000', '$4000'
CtIDH_Casos_Esp_2011.pdf in page 14:   '$1.500.000,00', '$150', '$60.000,00'
CtIDH_Casos_Esp_2011.pdf in page 157:   '$600,00', '$2,000.00', '$3.000,00'
CtIDH_Casos_Esp_2011.pdf in page 158:   '$253.671,00', '$271,882', '$329.858,00', '$297.158,00', '$312.548,00'
CtIDH_Casos_Esp_2011.pdf in page 206:   '$65,000.00'
CtIDH_Casos_Esp_2011.pdf in page 208:   '$50.000,00', '$15.000,00', '$3.000,00'
CtIDH_Casos_Esp_2011.pdf in page 323:   '$50.000'
CtIDH_Casos_Esp_2011.pdf in page 431:   '$4.239,58'
CtIDH_Casos_Esp_2011.pdf in page 478:   '$35.000'
CtIDH_Casos_Esp_2011.pdf in page 490:   '$1000', '$4000'
CtIDH_Casos_Esp_2011.pdf in page 609:   '$150.000.00'
CtIDH_Casos_Esp_2011.pdf in page 680:   '$695,00', '$8,225.00', '$506,970.00', '$5,955.00'
CtIDH_Casos_Esp_2011.pdf in page 681:   '$40,000.00', '$506', '$5,955.00', '$10,000.00'
CtIDH_Casos_Esp_2011.pdf in page 682:   '$5,000.00', '$2,000.00', '$80,000.00', '$75,000.00'
CtIDH_Casos_Esp_2011.pdf in page 683:   '$50,000.00', '$35,000.00', '$10,000.00', '$5,000.00'
CtIDH_Casos_Esp_2011.pdf in page 684:   '$35,000.00'
CtIDH_Casos_Esp_2011.pdf in page 685:   '$35,000.00', '$4,614.00'
CtIDH_Casos_Esp_2011.pdf in page 687:   '$10,043.02', '$10,043.02', '$482,00', '$1.900,00', '$1.915,00'
CtIDH_Casos_Esp_2011.pdf in page 732:   '$570', '$358.033,58', '$194.895,81', '$163.137,58'
CtIDH_Casos_Esp_2011.pdf in page 733:   '$358.033,58', '$6.076.00', '$570.772,86', '$194.895,81', '$163.137,58', '$163.137,58', '$358.033,59'
CtIDH_Casos_Esp_2011.pdf in page 734:   '$26,000.00', '$384,033.59', '$15,000.00'
CtIDH_Casos_Esp_2011.pdf in page 735:   '$30.000', '$4.022,88', '$34.000'
CtIDH_Casos_Esp_2011.pdf in page 736:   '$15,000.00'
CtIDH_Casos_Esp_2011.pdf in page 848:   '$30,000.00'
CtIDH_Casos_Esp_2011.pdf in page 849:   '$264.00', '$360.00', '$20,000.00'
CtIDH_Casos_Esp_2011.pdf in page 850:   '$80,000.00', '$10,000.00'
CtIDH_Casos_Esp_2011.pdf in page 851:   '$20,000.00'
CtIDH_Casos_Esp_2011.pdf in page 852:   '$15,000.00'
CtIDH_Casos_Esp_2011.pdf in page 853:   '$10,000.00', '$2,568.12'
CtIDH_Casos_Esp_2011.pdf in page 921:   '$70.000', '$16.310.000'
CtIDH_Casos_Esp_2011.pdf in page 940:   '$130,60', '$84.326.787,50'
CtIDH_Casos_Esp_2011.pdf in page 941:   '$42.180.504,47', '$1.174.735,00', '$43.355.239,47', '$9,36', '$6.043.635,25', '$56.730.723,69'
CtIDH_Casos_Esp_2011.pdf in page 942:   '$78.09', '$50.421.736,00', '$5.145.319,00', '$55.567.055,00', '$106'
CtIDH_Casos_Esp_2011.pdf in page 943:   '$63,83', '$41.214.233,12', '$669.146,00', '$28,19', '$18.201.930,62', '$41.214.2333', '$63,83', '$7.440', '$669.146', '$41.890.819,12', '$669.146'
CtIDH_Casos_Esp_2011.pdf in page 944:   '$58.111.875'
CtIDH_Casos_Esp_2011.pdf in page 945:   '$65,33', '$42.180.504,47', '$1.174.735,00', '$65.33', '$1.174.735', '$150', '$2.166.585'
CtIDH_Casos_Esp_2011.pdf in page 946:   '$6.043.635,2', '$9,36', '$1,52', '$8,19', '$47,52'
CtIDH_Casos_Esp_2011.pdf in page 950:   '$55.567.055,00', '$41.883,379,12'
CtIDH_Casos_Esp_2011.pdf in page 951:   '$18.201.930,62', '$41.214.233,12', '$58.111.875,00', '$42.180.504,47', '$1.174.735,00', '$6.043.635,25'
CtIDH_Casos_Esp_2011.pdf in page 957:   '$18,705,000.00'
CtIDH_Casos_Esp_2011.pdf in page 958:   '$56.730.723,69', '$9.032.00', '$300.000,00'
CtIDH_Casos_Esp_2011.pdf in page 961:   '$9,435.757,80', '$25.000.00'
CtIDH_Casos_Esp_2011.pdf in page 963:   '$10,000.00', '$23.984,82', '$23.984,82'
CtIDH_Casos_Esp_2011.pdf in page 964:   '$33.805,84', '$23.984,82'
CtIDH_Casos_Esp_2011.pdf in page 965:   '$33.805,84', '$874.45'
CtIDH_Casos_Esp_2011.pdf in page 966:   '$10.300,06', '$43.099,10'
CtIDH_Casos_Esp_2011.pdf in page 967:   '$46.083,58', '$52.270,00', '$27.269,64', '$7.740,24', '$25.000,58', '$46,083,58', '$23.622.36', '$22.461.22'
CtIDH_Casos_Esp_2011.pdf in page 968:   '$106.093,00', '$20.000,00'
CtIDH_Casos_Esp_2011.pdf in page 973:   '$18,705,000.00'
CtIDH_Casos_Esp_2011.pdf in page 974:   '$18™201'
CtIDH_Casos_Esp_2011.pdf in page 989:   '$18,705,000.00'
CtIDH_Casos_Esp_2011.pdf in page 1071:   '$300.000,00'
CtIDH_Casos_Esp_2011.pdf in page 1072:   '$100.000,00', '$80,000.00'
seriec_312_esp.pdf in page 97:   '$25,500.00'
seriec_312_esp.pdf in page 98:   '$50.000,00'
seriec_312_esp.pdf in page 99:   '$919,011.10', '$120', '$99,000.00'
seriec_312_esp.pdf in page 100:   '$10.000,00'
seriec_151_esp.pdf in page 24:   '$102.000.000'
seriec_213_esp.pdf in page 86:   '$80,000.00'
seriec_307_esp.pdf in page 93:   '$500,000', '$60.000,00', '$18.000,00', '$12.000,00'
seriec_307_esp.pdf in page 94:   '$692,424.44', '$1,800', '$515', '$588,031.44'
seriec_307_esp.pdf in page 95:   '$692,424.44', '$145.500,00'
seriec_307_esp.pdf in page 96:   '$9.000,00', '$60,000'
seriec_307_esp.pdf in page 97:   '$10.000,00', '$5.000,00', '$5.000,00'
seriec_077_esp.pdf in page 51:   '$5657'
CtIDH_Casos_Esp_2013.pdf in page 422:   '$9.000,00', '$12.000,00'
CtIDH_Casos_Esp_2013.pdf in page 481:   '$144.908.450', '$355.140.920'
CtIDH_Casos_Esp_2013.pdf in page 483:   '$1.243.475.684', '$68.233.062'
CtIDH_Casos_Esp_2013.pdf in page 484:   '$1.243.475.684.00', '$11.154.769.286.00'
CtIDH_Casos_Esp_2013.pdf in page 542:   '$1.243.475.684', '$68.233.062'
CtIDH_Casos_Esp_2013.pdf in page 581:   '$12.348.000', '$480.972.101', '$1.416.293', '$36.153.700', '$404.529.123', '$38.872.985', '$494.909.448', '$502.067.080', '$548.678.121', '$552.599.373', '$555.570.018', '$565.313.886', '$567.512.010', '$560.323.049', '$548.559.295', '$582.246.410', '$575.295.1'
CtIDH_Casos_Esp_2013.pdf in page 582:   '$594.128.990'
CtIDH_Casos_Esp_2013.pdf in page 776:   '$500.000,00'
CtIDH_Casos_Esp_2013.pdf in page 779:   '$20.000.00'
CtIDH_Casos_Esp_2013.pdf in page 852:   '$3.0', '$3.009.90'
CtIDH_Casos_Esp_2013.pdf in page 855:   '$141.081,00', '$288,48', '$136.167,00', '$278.432,00', '$133.059', '$136.439.00', '$126.888.00', '$9.551.00', '$14.880.00', '$25.500.00', '$14.188.016', '$234.626,00'
CtIDH_Casos_Esp_2013.pdf in page 856:   '$3.000.000', '$140.943.00', '$3.000.000,00'
CtIDH_Casos_Esp_2013.pdf in page 892:   '$490.000', '$1.031,5'
CtIDH_Casos_Esp_2013.pdf in page 987:   '$500.000'
CtIDH_Casos_Esp_2013.pdf in page 991:   '$50.000'
CtIDH_Casos_Esp_2013.pdf in page 992:   '$43.797,59', '$50.000'
CtIDH_Casos_Esp_2013.pdf in page 1101:   '$12.000,00'
CtIDH_Casos_Esp_2013.pdf in page 1206:   '$250,000', '$30,000', '$20,000'
